IP,computer_name,Image
3.97.206.33,MW-PN-CV-01,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
192.168.1.2,MW-PN-CV-01,System
13.127.99.68,MW-KZH-SKT-01,C:\Users\Patrick\AppData\Local\slack\app-4.38.115\slack.exe
52.200.46.145,MW-PN-CV-01,C:\Users\Scooby.Doo\AppData\Local\slack\app-4.38.115\slack.exe
160.116.187.18,MW-KZH-SJ-22,C:\Program Files\Google\Chrome\Application\chrome.exe
76.223.92.165,MW-KZH-SJ-22,C:\Users\Flatts\AppData\Local\Programs\signal-desktop\Signal.exe
15.223.124.170,MW-BST-LT-CH,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
192.168.32.59,MW-BST-LT-CH,C:\Windows\System32\svchost.exe
151.101.126.172,MW-BST-LT-CH,C:\Windows\System32\svchost.exe
65.2.117.88,MW-KZH-SKT-01,C:\Users\Patrick\AppData\Local\slack\app-4.38.115\slack.exe
142.251.175.155,MW-CLA-JS-01,C:\Program Files\Google\Chrome\Application\chrome.exe
13.107.6.158,MW-KZH-SJ-22,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe
151.101.0.106,MW-KZH-SJ-22,C:\Users\Flatts\AppData\Local\slack\app-4.38.121\slack.exe
108.158.61.14,MW-KZH-SJ-22,C:\Users\Flatts\AppData\Local\slack\app-4.38.121\slack.exe
13.107.6.158,MW-KZH-SJ-22,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
20.190.145.141,MW-KZH-SJ-22,C:\Windows\System32\backgroundTaskHost.exe
3.97.206.33,MW-KOL-BV-01,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
199.232.198.2,MW-KOL-BV-01,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\124.0.2478.97\msedgewebview2.exe
199.232.194.2,MW-KOL-BV-01,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\124.0.2478.97\msedgewebview2.exe
192.168.1.8,MW-KOL-BV-01,C:\Windows\System32\svchost.exe
49.44.95.83,MW-KZH-SKT-01,C:\Windows\System32\svchost.exe
15.223.124.170,MW-KZH-SKT-01,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
